                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    119,                 4.6544,                 3.4071,                 3.9444,                0.01389,                0.01961,                0.01576,                0.00559,                 6.6804,                  8.115,                 7.7444,              0.0012621,              0.0012621,              0.0012621
                    120,                 4.0056,                 3.2057,                  3.253,                0.02974,                0.15694,                0.02304,                  0.008,                 6.0762,                 7.7523,                 7.0401,              0.0012606,              0.0012606,              0.0012606
                    121,                 3.7153,                 3.5232,                 3.3531,                0.02974,                0.15694,                0.02304,                  0.008,                 6.0762,                 7.7523,                 7.0401,              0.0012592,              0.0012592,              0.0012592
                    122,                 4.1331,                 3.3406,                 3.1759,                0.02974,                0.15694,                0.02304,                  0.008,                 6.0762,                 7.7523,                 7.0401,              0.0012578,              0.0012578,              0.0012578
                    123,                 3.8131,                 3.1676,                 3.2181,                0.02974,                0.15694,                0.02304,                  0.008,                 6.0762,                 7.7523,                 7.0401,              0.0012564,              0.0012564,              0.0012564
                    124,                 3.8368,                 3.2749,                 3.5203,                 0.0303,                0.22141,                0.06166,                0.02092,                 5.4435,                 7.4455,                 6.3323,               0.001255,               0.001255,               0.001255
                    125,                 4.3881,                 4.3584,                 4.2236,                 0.0303,                0.22141,                0.06166,                0.02092,                 5.4435,                 7.4455,                 6.3323,              0.0012536,              0.0012536,              0.0012536
                    126,                 4.2812,                   3.19,                 3.3381,                 0.0303,                0.22141,                0.06166,                0.02092,                 5.4435,                 7.4455,                 6.3323,              0.0012522,              0.0012522,              0.0012522
                    127,                 3.7367,                 3.2746,                 3.7733,                 0.0303,                0.22141,                0.06166,                0.02092,                 5.4435,                 7.4455,                 6.3323,              0.0012507,              0.0012507,              0.0012507
                    128,                 4.1036,                 4.6142,                 4.3043,                0.05377,                0.54979,                0.08329,                0.02733,                 4.7055,                 6.8713,                 5.4198,              0.0012493,              0.0012493,              0.0012493
                    129,                 4.3395,                 3.0602,                 3.5618,                0.05377,                0.54979,                0.08329,                0.02733,                 4.7055,                 6.8713,                 5.4198,              0.0012479,              0.0012479,              0.0012479
                    130,                 3.9712,                 2.9885,                 3.3142,                0.05377,                0.54979,                0.08329,                0.02733,                 4.7055,                 6.8713,                 5.4198,              0.0012465,              0.0012465,              0.0012465
                    131,                 4.0432,                 3.7676,                 3.8399,                0.05377,                0.54979,                0.08329,                0.02733,                 4.7055,                 6.8713,                 5.4198,              0.0012451,              0.0012451,              0.0012451
                    132,                 4.5069,                 3.8238,                 4.1514,                0.06575,                0.77067,                0.23621,                0.07783,                 4.5872,                 6.0842,                 4.6613,              0.0012437,              0.0012437,              0.0012437
                    133,                  3.698,                   3.36,                 3.7068,                0.06575,                0.77067,                0.23621,                0.07783,                 4.5872,                 6.0842,                 4.6613,              0.0012423,              0.0012423,              0.0012423
